id,college,branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
108,"E012 Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,",BT,35122,999999999,115131,41199,999999999,999999999,63935,999999999,999999999,31224,999999999,999999999,999999999,999999999,999999999,28846,79788,57785,62864,999999999,999999999,66405,999999999,999999999
109,"E012 Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,",CE,102963,999999999,999999999,103258,999999999,136401,124802,999999999,999999999,96100,999999999,999999999,100322,999999999,999999999,94674,999999999,120821,115976,999999999,137932,999999999,999999999,999999999
110,"E012 Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,",CS,11035,999999999,999999999,9782,15029,10219,8349,999999999,15000,8016,999999999,9713,8196,999999999,9460,7806,13356,9318,27882,39566,31356,13727,999999999,999999999
111,"E012 Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,",EC,23568,999999999,29708,18301,999999999,18620,16318,999999999,999999999,16564,32478,20127,17088,999999999,999999999,16167,20302,17535,57192,999999999,70305,20503,999999999,999999999
112,"E012 Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,",EE,45946,115397,999999999,52676,56804,56809,62155,999999999,143379,44739,999999999,999999999,43169,999999999,999999999,42935,43325,51403,88731,999999999,89181,47321,999999999,89099
113,"E012 Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,",ET,48190,999999999,999999999,48852,73807,59087,58861,999999999,999999999,40552,999999999,999999999,47950,999999999,999999999,40416,999999999,44114,87103,999999999,125141,42020,999999999,999999999
114,"E012 Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,",IE,12320,999999999,999999999,12156,999999999,12764,13767,999999999,999999999,10838,999999999,999999999,10649,21488,12534,10576,16709,12338,41045,999999999,43761,19282,999999999,999999999
115,"E012 Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,",IO,21088,999999999,999999999,16535,999999999,30515,16165,999999999,999999999,14280,999999999,999999999,18474,999999999,999999999,13448,36071,16495,45097,999999999,98414,999999999,999999999,999999999
116,"E012 Sir M.Visveswaraya Institute of Technology Hunasemaranahalli,Bangalore,",ME,114283,999999999,999999999,118826,999999999,153971,115909,999999999,999999999,100613,999999999,999999999,106480,999999999,118375,100567,113088,116698,151813,999999999,169703,106221,999999999,127940
117,E013 Ghousia Engineering College Ramanagara,CE,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,174068,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
118,E013 Ghousia Engineering College Ramanagara,CS,71207,999999999,999999999,73672,83066,77516,72611,999999999,999999999,66586,83275,74352,68482,999999999,79732,65903,70472,73482,112660,999999999,141849,81830,999999999,999999999
119,E013 Ghousia Engineering College Ramanagara,EC,999999999,999999999,999999999,90253,999999999,999999999,82597,999999999,160679,999999999,999999999,999999999,84391,999999999,999999999,82065,999999999,84037,156869,999999999,171380,999999999,999999999,999999999
